,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence
306,No,No,I don't know,No,I don't know,Somewhat difficult,Maybe,No
307,I don't know,No,No,I don't know,I don't know,Very easy,No,No
308,,,,,,,,
309,,,,,,,,
310,I don't know,No,No,Yes,I don't know,Neither easy nor difficult,Maybe,No
311,,,,,,,,
312,Yes,I am not sure,Yes,No,I don't know,Very easy,No,No
313,Not eligible for coverage / N/A,,No,No,I don't know,Neither easy nor difficult,Maybe,Maybe
314,No,I am not sure,Yes,No,Yes,Very easy,No,No
315,,,,,,,,
316,I don't know,No,No,No,I don't know,Somewhat easy,No,No
317,Yes,I am not sure,No,I don't know,I don't know,Somewhat difficult,Maybe,No
318,I don't know,I am not sure,No,No,Yes,Very easy,No,No
319,Yes,Yes,No,No,I don't know,I don't know,Maybe,Maybe
320,I don't know,I am not sure,No,I don't know,I don't know,Very difficult,Maybe,Maybe
321,Yes,Yes,No,No,Yes,Somewhat easy,No,No
322,Yes,I am not sure,No,I don't know,I don't know,Somewhat difficult,Maybe,No
323,Yes,Yes,No,No,I don't know,Neither easy nor difficult,No,No
324,I don't know,I am not sure,No,I don't know,I don't know,I don't know,No,No
325,Yes,Yes,Yes,Yes,Yes,Very easy,No,No
326,Yes,No,Yes,No,I don't know,Neither easy nor difficult,No,No
327,Not eligible for coverage / N/A,No,No,I don't know,I don't know,Somewhat difficult,Maybe,No
328,No,,No,No,I don't know,Somewhat difficult,Yes,Maybe
329,I don't know,No,No,I don't know,I don't know,Somewhat difficult,Yes,No
330,,,,,,,,
331,Yes,I am not sure,No,Yes,I don't know,Very easy,No,No
332,Yes,No,No,No,I don't know,Very difficult,Yes,Maybe
333,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,No
334,Not eligible for coverage / N/A,,Yes,No,I don't know,Somewhat easy,No,No
335,Yes,I am not sure,No,No,I don't know,Somewhat easy,No,No
336,Yes,Yes,Yes,Yes,Yes,Very easy,No,No
337,,,,,,,,
338,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,No,No
339,Yes,Yes,No,Yes,I don't know,Very easy,No,No
340,,,,,,,,
341,No,Yes,No,No,I don't know,Somewhat difficult,No,No
342,No,,No,No,I don't know,Very easy,No,No
343,I don't know,No,No,No,I don't know,Very easy,No,No
344,Yes,Yes,I don't know,Yes,Yes,Very easy,No,No
345,I don't know,No,No,No,I don't know,Somewhat difficult,Maybe,No
346,No,No,No,No,No,Somewhat easy,Maybe,No
347,I don't know,No,No,I don't know,I don't know,Neither easy nor difficult,Maybe,No
348,Yes,I am not sure,No,No,I don't know,Somewhat easy,No,No
349,Yes,I am not sure,No,No,I don't know,Very easy,Maybe,No
350,I don't know,No,No,I don't know,I don't know,I don't know,Maybe,No
351,I don't know,No,No,No,I don't know,Somewhat difficult,Maybe,No
352,Yes,I am not sure,No,I don't know,No,Neither easy nor difficult,No,No
353,,,,,,,,
354,,,,,,,,
355,Not eligible for coverage / N/A,I am not sure,No,No,I don't know,Somewhat difficult,No,No
356,I don't know,No,No,Yes,Yes,I don't know,Yes,Maybe
357,Yes,Yes,Yes,Yes,Yes,Very easy,No,No
358,Yes,Yes,No,No,I don't know,Somewhat difficult,Yes,No
359,Yes,I am not sure,No,No,I don't know,I don't know,Yes,Maybe
360,,,,,,,,
361,Yes,No,No,I don't know,I don't know,Somewhat easy,Maybe,Maybe
362,No,No,No,No,I don't know,Somewhat difficult,Yes,No
363,I don't know,I am not sure,No,I don't know,I don't know,Somewhat easy,No,No
364,Yes,Yes,Yes,Yes,Yes,Very easy,No,No
365,Yes,I am not sure,Yes,Yes,Yes,Somewhat easy,No,No
366,Not eligible for coverage / N/A,,No,No,I don't know,I don't know,Maybe,No
367,Yes,No,Yes,Yes,I don't know,I don't know,Maybe,Yes
368,Yes,I am not sure,No,No,Yes,Somewhat easy,Maybe,Maybe
369,I don't know,No,No,Yes,I don't know,Somewhat easy,No,No
370,Yes,Yes,I don't know,I don't know,Yes,Somewhat easy,Maybe,Maybe
371,I don't know,I am not sure,No,No,Yes,Neither easy nor difficult,No,No
372,Yes,No,No,I don't know,Yes,Somewhat easy,No,No
373,,,,,,,,
374,,,,,,,,
375,Yes,I am not sure,No,I don't know,I don't know,I don't know,Maybe,No
376,I don't know,No,Yes,No,I don't know,Very easy,Maybe,No
377,Yes,Yes,No,Yes,Yes,Neither easy nor difficult,Yes,Maybe
378,,,,,,,,
379,Yes,I am not sure,Yes,Yes,Yes,I don't know,Maybe,Maybe
380,No,No,No,No,No,Somewhat easy,Yes,Maybe
381,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,No,No
382,Yes,I am not sure,Yes,Yes,Yes,Very easy,No,No
383,Yes,Yes,Yes,Yes,Yes,Very easy,No,No
384,Not eligible for coverage / N/A,,No,No,I don't know,Somewhat difficult,Yes,Maybe
385,I don't know,I am not sure,No,I don't know,I don't know,Somewhat easy,Maybe,No
386,,,,,,,,
387,,,,,,,,
388,I don't know,I am not sure,No,I don't know,I don't know,Somewhat difficult,Yes,Yes
389,Yes,Yes,No,I don't know,I don't know,Very easy,No,No
390,Yes,Yes,I don't know,Yes,Yes,I don't know,Yes,Yes
391,Yes,I am not sure,I don't know,Yes,Yes,Somewhat easy,Maybe,No
392,Yes,Yes,No,I don't know,I don't know,Somewhat easy,No,No
393,I don't know,No,No,Yes,I don't know,Neither easy nor difficult,Maybe,No
394,I don't know,No,I don't know,Yes,I don't know,Somewhat easy,No,No
395,,,,,,,,
396,No,,No,No,I don't know,Somewhat easy,No,No
397,I don't know,No,Yes,I don't know,Yes,Somewhat easy,Maybe,Maybe
398,I don't know,I am not sure,Yes,Yes,I don't know,Somewhat easy,No,Maybe
399,,,,,,,,
400,Yes,I am not sure,No,I don't know,Yes,Somewhat easy,Maybe,No
401,Yes,Yes,No,No,Yes,Very easy,Maybe,No
402,No,No,No,No,I don't know,Somewhat easy,Maybe,Maybe
403,,,,,,,,
404,I don't know,No,Yes,No,I don't know,Very easy,Yes,Maybe
405,No,I am not sure,No,No,I don't know,Very easy,Maybe,No
406,,,,,,,,
407,Yes,Yes,No,I don't know,I don't know,I don't know,Maybe,No
408,Yes,No,No,No,I don't know,I don't know,Maybe,No
409,Yes,Yes,No,No,I don't know,Somewhat easy,No,No
410,I don't know,No,No,I don't know,I don't know,Somewhat difficult,Maybe,Maybe
411,Yes,I am not sure,Yes,I don't know,I don't know,I don't know,Maybe,No
412,I don't know,I am not sure,No,No,I don't know,Neither easy nor difficult,No,No
413,,,,,,,,
414,Yes,I am not sure,Yes,I don't know,Yes,Very easy,No,No
415,Yes,I am not sure,No,Yes,No,Neither easy nor difficult,No,No
416,No,No,Yes,No,I don't know,Very difficult,No,No
417,,,,,,,,
418,,,,,,,,
419,Not eligible for coverage / N/A,No,No,No,I don't know,I don't know,No,No
420,Yes,Yes,Yes,Yes,I don't know,I don't know,Maybe,Maybe
421,Yes,I am not sure,No,No,I don't know,Somewhat difficult,No,No
422,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No
423,Yes,No,I don't know,Yes,I don't know,Somewhat difficult,Maybe,Maybe
424,I don't know,I am not sure,No,I don't know,I don't know,Very difficult,Maybe,Maybe
425,I don't know,I am not sure,No,I don't know,I don't know,I don't know,No,No
426,Yes,Yes,Yes,Yes,Yes,I don't know,Maybe,No
427,No,No,No,No,I don't know,I don't know,Yes,Maybe
428,,,,,,,,
429,Yes,Yes,No,Yes,I don't know,Neither easy nor difficult,Maybe,No
430,I don't know,No,I don't know,I don't know,I don't know,Somewhat easy,No,No
431,I don't know,I am not sure,No,No,I don't know,Somewhat easy,No,No
432,I don't know,,Yes,Yes,Yes,Very easy,No,No
433,,,,,,,,
434,No,,No,No,Yes,I don't know,Maybe,No
435,I don't know,,I don't know,I don't know,I don't know,Somewhat easy,No,No
436,No,No,No,No,I don't know,Somewhat easy,No,No
437,No,No,No,No,I don't know,Somewhat difficult,Maybe,No
438,Yes,No,No,I don't know,Yes,Neither easy nor difficult,Maybe,Maybe
439,Yes,No,I don't know,No,I don't know,Neither easy nor difficult,Maybe,No
440,Yes,I am not sure,No,No,I don't know,Somewhat easy,No,No
441,,,,,,,,
442,,,,,,,,
443,,,,,,,,
444,,,,,,,,
445,I don't know,I am not sure,No,No,No,Neither easy nor difficult,Yes,No
446,Yes,No,No,I don't know,I don't know,Somewhat difficult,Maybe,Maybe
447,I don't know,I am not sure,Yes,Yes,Yes,Very easy,No,No
448,I don't know,I am not sure,No,I don't know,I don't know,Somewhat easy,Maybe,Maybe
449,I don't know,No,No,No,No,Somewhat difficult,Maybe,Maybe
450,,,,,,,,
451,Yes,Yes,No,Yes,Yes,Neither easy nor difficult,Maybe,No
452,No,,No,No,No,Very difficult,Yes,No
453,Yes,Yes,No,No,Yes,Somewhat easy,No,No
454,Yes,I am not sure,Yes,No,I don't know,Very easy,No,No
455,No,No,No,No,I don't know,Very easy,Maybe,Maybe
