,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence
96,Don't know,Not sure,No,Don't know,Don't know,Somewhat easy,Maybe,Maybe
97,Don't know,No,No,No,Don't know,Don't know,No,No
98,No,Yes,No,No,Don't know,Somewhat easy,Maybe,No
99,No,Yes,No,No,Yes,Somewhat easy,No,No
100,No,Yes,No,No,No,Very difficult,Yes,No
101,Yes,Not sure,Don't know,Don't know,Don't know,Don't know,Maybe,Maybe
102,Don't know,No,Don't know,Don't know,Don't know,Very easy,No,No
103,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No
104,Yes,Not sure,Yes,Don't know,Don't know,Somewhat easy,No,No
105,Yes,Not sure,No,No,Yes,Somewhat easy,No,No
106,Don't know,Not sure,No,No,Don't know,Somewhat easy,No,No
107,No,No,No,No,No,Don't know,Maybe,No
108,Yes,No,No,No,Don't know,Don't know,Maybe,No
109,Yes,No,Yes,Yes,Yes,Somewhat difficult,Maybe,No
110,Yes,Yes,No,Don't know,Yes,Don't know,Yes,No
111,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No
112,Yes,Yes,No,Yes,Yes,Very easy,No,No
113,Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,No
114,Don't know,No,No,Don't know,Don't know,Don't know,Maybe,No
115,Don't know,No,No,Don't know,Don't know,Very easy,No,No
116,No,Yes,No,No,Yes,Very difficult,Yes,No
117,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,No
118,No,No,No,No,Yes,Very easy,No,No
119,Don't know,Not sure,No,Don't know,Don't know,Don't know,No,No
120,Yes,Yes,No,Yes,Don't know,Don't know,Yes,Yes
121,Don't know,No,No,No,Don't know,Very easy,No,No
122,Don't know,No,Don't know,Don't know,Yes,Very easy,No,No
123,Yes,No,No,No,Yes,Don't know,Maybe,No
124,Yes,Not sure,No,No,Don't know,Very difficult,Maybe,No
125,Yes,No,Yes,Yes,Yes,Don't know,Yes,No
126,No,No,No,No,Don't know,Don't know,No,No
127,Yes,Yes,No,Yes,Yes,Don't know,Yes,No
128,No,No,No,No,Don't know,Somewhat easy,Maybe,Maybe
129,Don't know,No,No,No,Don't know,Somewhat easy,Yes,Yes
130,Yes,Yes,No,No,Don't know,Very easy,Maybe,No
131,No,Yes,No,No,Don't know,Very difficult,Maybe,No
132,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,No
133,No,Yes,No,No,Yes,Somewhat easy,No,No
134,Don't know,No,No,No,Don't know,Don't know,No,No
135,No,No,No,No,Don't know,Don't know,Yes,Maybe
136,Don't know,No,No,No,Yes,Very easy,No,No
137,Yes,Not sure,No,No,Don't know,Somewhat easy,No,No
138,Don't know,No,No,Don't know,Don't know,Somewhat easy,Maybe,No
139,Don't know,No,Don't know,No,Don't know,Somewhat easy,No,No
140,Don't know,No,Don't know,Don't know,Don't know,Don't know,Maybe,No
141,No,Yes,Yes,Yes,Yes,Very difficult,Yes,Yes
142,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,Yes,No
143,Yes,No,Don't know,Yes,Don't know,Don't know,No,No
144,Don't know,Not sure,No,Don't know,Don't know,Don't know,Maybe,Maybe
145,Yes,Yes,Yes,Yes,Don't know,Somewhat easy,Maybe,Maybe
146,No,No,No,No,Yes,Don't know,Maybe,Maybe
147,No,No,No,No,No,Somewhat easy,Yes,Yes
148,No,Yes,Yes,Yes,Don't know,Somewhat easy,Yes,No
149,Don't know,Not sure,No,Don't know,Don't know,Don't know,Maybe,No
150,Don't know,Not sure,No,Yes,Yes,Somewhat easy,Maybe,No
151,Don't know,Not sure,No,No,Don't know,Very easy,No,No
152,No,No,No,No,Don't know,Don't know,No,No
153,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,No
154,Yes,Yes,Yes,Yes,Yes,Somewhat difficult,Yes,Maybe
155,Don't know,No,No,Don't know,Don't know,Somewhat difficult,Maybe,No
156,Don't know,No,No,Don't know,Don't know,Don't know,No,No
157,Don't know,Not sure,No,No,Don't know,Don't know,Yes,Maybe
158,No,Yes,No,No,Don't know,Somewhat difficult,Maybe,No
159,Don't know,Not sure,No,No,Don't know,Very easy,Maybe,No
160,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,Maybe
161,Yes,No,No,No,Don't know,Don't know,Yes,Yes
162,Yes,No,No,Yes,Don't know,Don't know,No,No
163,Don't know,No,No,No,Don't know,Don't know,Maybe,No
164,No,Yes,Yes,Yes,Yes,Very difficult,No,No
165,No,Yes,No,No,Yes,Somewhat easy,No,No
166,No,No,No,No,Don't know,Very easy,Maybe,No
167,No,Yes,No,No,Don't know,Very difficult,Maybe,No
168,No,No,No,No,Don't know,Very difficult,Yes,No
169,Don't know,Not sure,Yes,Don't know,Don't know,Very easy,Maybe,Maybe
170,Yes,Yes,Don't know,Don't know,Yes,Somewhat easy,No,No
171,Don't know,No,No,No,Don't know,Don't know,Maybe,No
172,Don't know,Not sure,No,No,Don't know,Very difficult,Yes,Maybe
173,Don't know,No,No,Don't know,Don't know,Don't know,Maybe,Maybe
174,Yes,Yes,Yes,No,Don't know,Somewhat easy,No,No
175,Don't know,Not sure,No,Don't know,Don't know,Don't know,Maybe,No
176,No,Not sure,No,Yes,Yes,Somewhat easy,No,No
177,Yes,Not sure,Don't know,Don't know,Yes,Very easy,No,No
178,Yes,No,No,No,Yes,Somewhat difficult,No,No
179,Don't know,No,No,No,Don't know,Very easy,No,No
180,No,No,No,No,No,Don't know,Maybe,Maybe
181,No,No,No,No,Don't know,Somewhat easy,Maybe,Maybe
182,Don't know,No,No,Don't know,Yes,Somewhat easy,No,No
183,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,Yes,Yes
184,Yes,Not sure,No,Don't know,Don't know,Very difficult,Yes,Maybe
185,Yes,No,No,No,Don't know,Don't know,Yes,No
186,Don't know,No,No,Don't know,Don't know,Somewhat easy,Maybe,No
187,No,Yes,No,No,Don't know,Somewhat easy,No,No
188,Don't know,No,No,No,Don't know,Don't know,No,No
189,Yes,Not sure,Don't know,No,Yes,Somewhat easy,Maybe,No
190,No,Yes,No,No,Yes,Somewhat easy,Maybe,Maybe
191,Yes,No,No,No,Don't know,Somewhat easy,Maybe,Maybe
192,No,No,No,No,Don't know,Don't know,Yes,Maybe
193,No,No,No,No,Yes,Don't know,No,No
194,No,No,No,No,Don't know,Very difficult,Yes,Yes
195,No,No,No,No,Don't know,Somewhat easy,Maybe,Maybe
196,Don't know,Not sure,No,No,Don't know,Don't know,Maybe,Maybe
197,Yes,No,No,No,Yes,Somewhat easy,No,No
198,Yes,Yes,No,No,Don't know,Somewhat easy,Maybe,Maybe
199,Don't know,No,No,No,Don't know,Don't know,Maybe,Maybe
200,Yes,No,No,No,Don't know,Very easy,No,No
201,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,No
202,No,Not sure,No,No,Don't know,Very difficult,Maybe,Maybe
203,No,Yes,No,No,Don't know,Very difficult,Yes,No
204,Don't know,No,Don't know,Don't know,Don't know,Very easy,No,No
205,Don't know,Not sure,No,No,Don't know,Somewhat difficult,Yes,Maybe
206,No,Yes,No,No,Don't know,Somewhat difficult,No,No
207,No,Yes,No,No,Yes,Somewhat easy,Maybe,No
208,Don't know,Not sure,No,Don't know,Don't know,Don't know,No,No
209,No,No,No,No,No,Very easy,Yes,Maybe
210,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No
211,No,No,No,No,Don't know,Don't know,Yes,Maybe
212,No,No,No,No,Don't know,Don't know,Yes,No
213,Don't know,No,No,No,No,Don't know,Yes,Maybe
214,Yes,Yes,Don't know,Don't know,Yes,Very easy,No,No
215,No,No,Don't know,Don't know,Don't know,Very difficult,No,No
216,Yes,Yes,No,No,Yes,Very difficult,No,No
217,Yes,Yes,No,Don't know,Yes,Very easy,No,No
218,Yes,No,No,Don't know,Don't know,Somewhat difficult,Maybe,No
219,Yes,Not sure,No,No,Don't know,Very easy,Yes,No
220,Yes,No,No,No,Don't know,Somewhat easy,No,No
221,Don't know,No,No,No,Don't know,Don't know,No,No
222,Don't know,No,No,No,Don't know,Don't know,No,No
223,No,Yes,No,No,Yes,Very difficult,Yes,No
224,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,No
225,Don't know,No,Don't know,No,Yes,Very easy,No,No
226,No,Yes,No,No,Don't know,Very difficult,No,No
227,Don't know,Not sure,Yes,Yes,Don't know,Somewhat difficult,Yes,Yes
228,Yes,Not sure,No,Don't know,Don't know,Very easy,Maybe,No
229,No,Yes,No,No,Don't know,Don't know,Maybe,No
230,Yes,No,No,Yes,Don't know,Don't know,Maybe,No
231,Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,Maybe
232,Don't know,Not sure,Don't know,Don't know,Don't know,Very difficult,Yes,No
233,Don't know,Not sure,No,Don't know,Don't know,Don't know,Maybe,Maybe
234,Don't know,No,Don't know,Don't know,Yes,Somewhat easy,No,No
235,No,No,No,No,Don't know,Somewhat difficult,Yes,Maybe
236,Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,No
237,No,No,No,No,Yes,Somewhat difficult,No,No
238,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No
239,Yes,Yes,Yes,Yes,Yes,Don't know,No,No
240,Don't know,No,No,No,Don't know,Don't know,No,No
241,No,No,No,No,Don't know,Somewhat difficult,Maybe,No
242,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No
243,No,No,No,No,Yes,Somewhat difficult,Maybe,No
244,Yes,Yes,Don't know,Don't know,Yes,Somewhat easy,No,No
245,Yes,Yes,Yes,Yes,Yes,Don't know,Yes,Maybe
246,Don't know,No,No,Don't know,Don't know,Don't know,Maybe,No
247,No,No,No,No,Yes,Very easy,No,No
248,No,No,No,No,Don't know,Don't know,Maybe,No
249,Yes,Yes,Yes,Don't know,Yes,Don't know,Maybe,No
250,Don't know,No,No,Don't know,Yes,Somewhat easy,Maybe,No
251,Yes,No,No,Don't know,Yes,Somewhat easy,No,No
252,Yes,Yes,Yes,Don't know,Yes,Very easy,No,No
253,Don't know,Not sure,Don't know,Don't know,No,Very easy,Maybe,Maybe
254,Don't know,No,Don't know,Don't know,Don't know,Don't know,No,No
255,No,No,No,No,Don't know,Somewhat difficult,Yes,No
256,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,Maybe,Maybe
257,No,Yes,No,Yes,Don't know,Somewhat easy,No,No
258,No,No,No,No,Don't know,Don't know,Yes,No
259,No,Yes,No,No,No,Very difficult,Yes,Maybe
260,Yes,No,No,No,Yes,Don't know,Maybe,Maybe
261,No,Yes,No,No,No,Very difficult,Yes,Yes
262,Yes,Yes,No,Yes,Yes,Don't know,No,No
263,No,Yes,No,No,Yes,Very difficult,Maybe,No
264,No,Not sure,No,No,Don't know,Somewhat easy,Maybe,No
265,No,Yes,No,Don't know,Don't know,Very easy,No,No
266,Yes,Yes,Don't know,No,Don't know,Very easy,No,No
267,Don't know,Not sure,Don't know,Don't know,Don't know,Very easy,Maybe,Maybe
268,Yes,Yes,No,No,Yes,Don't know,Maybe,No
269,No,No,No,No,Don't know,Very easy,No,No
270,No,No,No,No,Don't know,Somewhat difficult,No,No
271,Yes,No,Don't know,Don't know,Yes,Don't know,No,No
272,Yes,Yes,Yes,Yes,Yes,Very easy,No,No
273,No,Yes,No,No,Don't know,Somewhat easy,Maybe,Maybe
274,Yes,No,No,No,Don't know,Don't know,Yes,No
275,Yes,No,Yes,Yes,Yes,Don't know,No,No
276,Yes,No,No,No,Don't know,Don't know,Maybe,No
277,No,Yes,No,No,Don't know,Somewhat easy,Maybe,Maybe
278,Yes,Yes,Yes,Don't know,Don't know,Very easy,Maybe,No
279,Don't know,No,No,Don't know,Don't know,Don't know,Maybe,No
280,Don't know,Not sure,Yes,Yes,Don't know,Somewhat easy,Maybe,No
281,No,No,No,No,Yes,Don't know,Yes,No
282,Don't know,No,No,Don't know,Don't know,Don't know,Yes,No
283,Yes,Yes,No,No,Yes,Somewhat difficult,Yes,No
284,Don't know,Not sure,No,No,Don't know,Don't know,No,No
285,No,No,No,No,Yes,Somewhat easy,Maybe,Maybe
286,Yes,Not sure,Don't know,Don't know,Don't know,Don't know,Maybe,No
287,Don't know,Not sure,Don't know,Don't know,Don't know,Very easy,No,No
288,No,Yes,No,No,Don't know,Don't know,No,Maybe
289,Yes,Yes,Yes,Don't know,Don't know,Somewhat easy,Maybe,No
290,No,No,No,No,No,Somewhat easy,No,No
291,Don't know,No,No,Don't know,Don't know,Don't know,Yes,Maybe
292,Yes,Yes,Don't know,Don't know,Yes,Don't know,Maybe,No
293,Yes,No,No,Don't know,Don't know,Don't know,Maybe,No
294,Yes,Not sure,Don't know,Don't know,Don't know,Don't know,No,Maybe
295,Don't know,Not sure,No,Don't know,Don't know,Don't know,Maybe,Maybe
296,Yes,Yes,Yes,Don't know,Don't know,Very easy,No,No
297,Yes,No,Don't know,Yes,Don't know,Don't know,No,No
298,Yes,No,Yes,Yes,Don't know,Don't know,Yes,No
299,Yes,Yes,Yes,Yes,Don't know,Don't know,No,No
300,Yes,Yes,Yes,Yes,Don't know,Don't know,No,No
301,Yes,Not sure,Don't know,Don't know,Yes,Somewhat easy,No,No
302,Yes,Not sure,No,Don't know,Don't know,Don't know,No,No
303,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Yes,No
304,Yes,Yes,Don't know,Yes,Don't know,Somewhat easy,No,No
305,Yes,No,No,Don't know,Don't know,Don't know,Maybe,No
306,Yes,Not sure,No,No,Don't know,Somewhat easy,Maybe,No
307,No,No,No,No,Don't know,Don't know,No,No
308,Don't know,Not sure,No,Don't know,Don't know,Don't know,No,No
309,Yes,Not sure,Yes,Yes,Don't know,Don't know,Maybe,No
310,Don't know,No,No,Don't know,Don't know,Somewhat difficult,Yes,Maybe
311,Yes,Not sure,Don't know,Yes,Don't know,Don't know,No,No
312,No,Yes,No,No,Don't know,Somewhat easy,Maybe,No
313,Yes,Not sure,No,Don't know,Don't know,Don't know,Yes,No
314,Don't know,No,Don't know,Don't know,Don't know,Very easy,No,No
315,Don't know,Not sure,No,Don't know,Don't know,Don't know,Maybe,Maybe
316,Don't know,Not sure,No,Don't know,Don't know,Don't know,Maybe,No
317,Yes,Yes,Yes,Yes,Yes,Very easy,No,No
318,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,No
319,No,Yes,No,No,Don't know,Somewhat easy,Maybe,Maybe
320,Yes,Yes,Don't know,Yes,Yes,Somewhat easy,No,No
321,Yes,No,No,Don't know,Don't know,Don't know,Yes,No
322,Yes,Not sure,Don't know,Yes,Yes,Somewhat easy,No,No
323,Yes,Yes,No,Yes,Yes,Don't know,Maybe,No
324,Yes,No,Don't know,No,Don't know,Don't know,Maybe,No
325,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,Maybe,No
326,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,Maybe
327,Don't know,Not sure,Don't know,Yes,Don't know,Don't know,No,No
328,No,Yes,No,No,Don't know,Don't know,Maybe,No
329,No,No,No,No,Don't know,Somewhat difficult,Yes,Yes
330,Yes,Not sure,Yes,Yes,Yes,Very easy,No,No
331,Yes,Yes,No,Don't know,Don't know,Don't know,Yes,Maybe
332,Don't know,No,No,No,Yes,Somewhat easy,Maybe,No
333,No,No,No,No,Don't know,Very difficult,No,No
334,No,Yes,No,No,Don't know,Don't know,Maybe,Maybe
335,Yes,Not sure,Yes,Don't know,Don't know,Very easy,No,No
336,Don't know,No,No,Don't know,Don't know,Don't know,Yes,Maybe
337,Yes,Not sure,Don't know,No,Don't know,Very easy,Maybe,Maybe
338,Yes,Yes,Don't know,Don't know,Yes,Don't know,Yes,No
339,Yes,Yes,Yes,Yes,Yes,Very easy,No,No
340,Don't know,Not sure,No,Don't know,Don't know,Don't know,No,No
341,No,Yes,No,No,Don't know,Very difficult,Yes,Maybe
342,Don't know,Not sure,Don't know,Don't know,Don't know,Very easy,Yes,No
343,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,Maybe,No
344,Don't know,No,No,No,Don't know,Don't know,Yes,Maybe
345,Yes,Yes,No,No,Yes,Don't know,No,No
346,Don't know,No,No,No,Don't know,Don't know,No,No
347,Don't know,No,Yes,Yes,Don't know,Don't know,No,No
348,Don't know,No,Don't know,Don't know,Don't know,Don't know,Maybe,No
349,Yes,Yes,Don't know,Don't know,Don't know,Don't know,Maybe,No
350,Don't know,No,No,No,Don't know,Don't know,Maybe,No
351,Yes,Yes,Yes,Yes,Yes,Don't know,No,No
352,No,No,No,Don't know,Don't know,Very easy,No,No
353,Yes,Not sure,Don't know,Yes,Don't know,Don't know,Maybe,No
354,Yes,Yes,Yes,No,Don't know,Somewhat easy,No,No
355,No,Yes,No,Don't know,Yes,Don't know,No,No
356,Don't know,Not sure,No,No,Don't know,Don't know,Maybe,No
357,Yes,Yes,Don't know,Yes,Yes,Don't know,Maybe,Maybe
358,No,No,No,No,Don't know,Somewhat easy,Yes,Yes
359,No,Yes,No,No,Yes,Very easy,No,No
360,No,No,No,No,Don't know,Somewhat difficult,Maybe,No
361,No,No,No,Don't know,Don't know,Somewhat difficult,No,No
362,No,No,No,Don't know,No,Don't know,Maybe,No
363,Yes,Yes,Yes,Yes,Yes,Don't know,No,No
364,Yes,Yes,No,No,Don't know,Don't know,Maybe,No
365,Don't know,Not sure,No,Don't know,Don't know,Somewhat difficult,Maybe,Maybe
366,Yes,No,Yes,Yes,Yes,Very easy,No,No
367,No,Yes,No,No,Yes,Very easy,No,No
368,Yes,No,No,Don't know,Yes,Don't know,No,No
369,Don't know,Not sure,No,No,No,Very easy,Yes,No
370,Yes,No,Yes,Yes,Yes,Somewhat easy,No,No
371,Yes,No,Yes,Yes,Don't know,Somewhat difficult,Maybe,No
372,Yes,Yes,Yes,Yes,Yes,Very easy,No,No
373,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,No
374,Don't know,Not sure,Don't know,No,Don't know,Somewhat easy,Yes,No
375,Yes,Yes,Don't know,Don't know,Don't know,Don't know,Maybe,No
376,Yes,Yes,No,No,Yes,Don't know,Yes,Maybe
377,Don't know,No,No,No,Don't know,Don't know,Maybe,No
378,Yes,Yes,Yes,Yes,Yes,Very difficult,Maybe,Maybe
379,Yes,Yes,No,Yes,Yes,Don't know,Maybe,No
380,Yes,Not sure,No,Don't know,Don't know,Somewhat easy,No,No
381,Yes,No,Yes,Yes,Yes,Don't know,No,No
382,Yes,No,No,No,Don't know,Don't know,No,No
383,No,No,No,No,Yes,Somewhat easy,No,No
384,Don't know,No,No,No,Don't know,Don't know,Yes,Yes
385,Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,Maybe
386,Don't know,Not sure,No,No,Don't know,Don't know,No,No
387,Yes,Yes,No,No,Don't know,Very difficult,Yes,No
388,Don't know,Not sure,No,No,Don't know,Somewhat difficult,Yes,No
389,Yes,Yes,No,Yes,Yes,Don't know,Maybe,No
390,No,Yes,No,No,No,Very difficult,Yes,Yes
391,Yes,No,Don't know,Don't know,Don't know,Somewhat easy,Maybe,Maybe
392,Don't know,No,No,Don't know,Don't know,Somewhat easy,Yes,No
393,Don't know,No,Don't know,Don't know,Don't know,Very easy,No,No
394,No,No,No,No,No,Very difficult,Yes,Maybe
395,Yes,Not sure,No,Don't know,Don't know,Don't know,Maybe,No
396,Don't know,No,No,No,Don't know,Don't know,Maybe,Maybe
397,No,No,No,No,Don't know,Very difficult,Maybe,Maybe
398,Don't know,Not sure,No,No,Don't know,Don't know,Maybe,No
399,Don't know,Not sure,Don't know,Don't know,Yes,Somewhat easy,Maybe,No
400,Yes,Yes,No,No,Don't know,Somewhat difficult,Maybe,No
401,Yes,Yes,No,No,Don't know,Don't know,Maybe,No
402,Don't know,No,No,Don't know,Don't know,Don't know,No,No
403,Yes,Yes,No,No,Don't know,Very difficult,Maybe,Maybe
404,Don't know,No,No,No,Don't know,Very easy,Maybe,No
405,Yes,Yes,No,Yes,Yes,Very easy,No,No
406,Yes,Yes,Yes,Yes,Don't know,Don't know,Yes,Maybe
407,Don't know,No,Don't know,Don't know,Don't know,Don't know,Yes,No
408,Don't know,No,No,No,Don't know,Somewhat easy,No,No
409,No,No,No,No,Don't know,Don't know,Yes,Maybe
410,Yes,Yes,No,No,Don't know,Somewhat easy,Yes,No
411,Don't know,Not sure,No,Don't know,Don't know,Very difficult,Yes,Maybe
412,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,No
413,Don't know,No,No,No,Don't know,Don't know,Yes,Maybe
414,Don't know,Not sure,Don't know,Don't know,Don't know,Somewhat difficult,No,No
415,Don't know,No,No,Don't know,Don't know,Somewhat easy,Maybe,No
416,Don't know,Not sure,No,No,Don't know,Somewhat difficult,No,No
417,No,No,No,No,Don't know,Don't know,No,No
418,No,No,No,No,Don't know,Somewhat easy,No,No
419,No,Yes,No,Don't know,Don't know,Don't know,Yes,Maybe
420,Yes,No,No,No,Yes,Very easy,No,No
421,Don't know,No,Don't know,No,Don't know,Don't know,No,No
422,Yes,Yes,Yes,No,Don't know,Very easy,No,No
423,No,No,No,Don't know,Don't know,Somewhat easy,No,No
424,Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,No
425,Don't know,Not sure,No,Yes,Yes,Don't know,No,No
426,No,Yes,No,No,Don't know,Somewhat difficult,Yes,No
427,Yes,Not sure,Yes,Don't know,Don't know,Don't know,Maybe,No
428,Yes,No,No,No,Don't know,Don't know,No,No
429,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No
430,Don't know,No,No,No,Don't know,Somewhat easy,Maybe,No
431,No,No,No,No,Don't know,Very easy,Yes,No
