,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_importance,mental_health_importance
26,I don't know,No,No,I don't know,I don't know,Somewhat easy,No,10.0,0.0
27,I don't know,No,No,I don't know,I don't know,Very easy,Yes,6.0,6.0
28,Yes,Yes,Yes,Yes,I don't know,Very easy,Yes,5.0,7.0
29,Yes,Yes,Yes,No,I don't know,I don't know,Yes,7.0,7.0
30,Yes,Yes,No,I don't know,I don't know,Very easy,Maybe,5.0,5.0
31,Yes,No,No,I don't know,I don't know,Somewhat easy,Yes,8.0,7.0
32,,,,,,,,,
33,Not eligible for coverage / NA,,Yes,No,I don't know,Very easy,Yes,9.0,6.0
34,Yes,Yes,Yes,I don't know,I don't know,Somewhat easy,Yes,7.0,7.0
35,I don't know,No,No,I don't know,I don't know,Somewhat easy,Maybe,4.0,4.0
36,I don't know,No,No,No,Yes,Very easy,Yes,8.0,5.0
37,Yes,Yes,No,I don't know,I don't know,Somewhat easy,No,9.0,7.0
38,,,,,,,,,
39,,,,,,,,,
40,Yes,Yes,Yes,Yes,Yes,Somewhat difficult,Yes,8.0,6.0
41,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,Yes,3.0,6.0
42,I don't know,No,No,No,I don't know,Neither easy nor difficult,No,0.0,0.0
43,,,,,,,,,
44,Yes,Yes,No,Yes,Yes,Somewhat difficult,Maybe,9.0,7.0
45,I don't know,No,No,I don't know,I don't know,Very easy,Yes,3.0,3.0
46,,,,,,,,,
47,Yes,Yes,Yes,Yes,Yes,Very easy,Yes,10.0,10.0
48,Yes,Yes,Yes,Yes,I don't know,Very easy,Yes,9.0,9.0
49,,,,,,,,,
50,,,,,,,,,
51,,,,,,,,,
52,,,,,,,,,
53,Yes,Yes,No,I don't know,I don't know,I don't know,No,5.0,2.0
54,I don't know,No,I don't know,Yes,I don't know,Somewhat difficult,Yes,8.0,7.0
55,No,,No,No,I don't know,Somewhat easy,Maybe,4.0,3.0
56,I don't know,Yes,Yes,No,Yes,Somewhat difficult,Maybe,4.0,3.0
57,Yes,No,No,No,I don't know,Somewhat easy,No,3.0,1.0
58,Yes,Yes,I don't know,I don't know,Yes,Somewhat difficult,Maybe,7.0,7.0
59,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,5.0,5.0
60,No,No,No,No,I don't know,Difficult,No,5.0,2.0
61,Yes,No,No,No,I don't know,Somewhat difficult,No,2.0,0.0
62,I don't know,No,No,No,Yes,Very easy,Yes,7.0,3.0
63,I don't know,No,No,No,I don't know,Neither easy nor difficult,Maybe,5.0,2.0
64,I don't know,Yes,No,No,Yes,Somewhat difficult,Maybe,7.0,5.0
65,No,No,No,No,No,Somewhat difficult,Yes,0.0,0.0
66,,,,,,,,,
67,Yes,No,No,Yes,I don't know,I don't know,No,5.0,4.0
68,Yes,Yes,No,I don't know,Yes,Neither easy nor difficult,Yes,4.0,6.0
69,Yes,Yes,Yes,Yes,Yes,Somewhat difficult,Yes,10.0,5.0
70,Yes,Yes,No,No,I don't know,I don't know,Maybe,7.0,5.0
71,Yes,No,No,I don't know,Yes,Very easy,Yes,9.0,9.0
72,Yes,Yes,Yes,No,I don't know,I don't know,Maybe,7.0,7.0
73,No,No,No,No,I don't know,Very easy,Yes,8.0,7.0
74,No,,No,No,I don't know,Somewhat easy,Maybe,8.0,5.0
75,No,,Yes,No,No,I don't know,No,9.0,8.0
76,No,No,No,No,No,Somewhat easy,Yes,6.0,3.0
77,No,Yes,No,No,No,Very easy,Yes,3.0,3.0
78,Not eligible for coverage / NA,,No,No,I don't know,I don't know,No,8.0,5.0
79,I don't know,No,No,I don't know,Yes,I don't know,Maybe,9.0,8.0
80,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Yes,6.0,7.0
81,Yes,Yes,No,Yes,Yes,Difficult,Maybe,6.0,4.0
82,Yes,Yes,No,No,Yes,Somewhat easy,Yes,7.0,3.0
83,I don't know,No,No,I don't know,I don't know,Neither easy nor difficult,Maybe,8.0,5.0
84,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,Maybe,5.0,7.0
85,I don't know,No,No,No,I don't know,Somewhat easy,Yes,5.0,5.0
86,Yes,Yes,No,No,I don't know,I don't know,No,7.0,4.0
87,Yes,Yes,I don't know,No,Yes,Somewhat easy,Yes,10.0,8.0
88,Yes,Yes,No,No,Yes,I don't know,Maybe,5.0,5.0
89,No,No,Yes,No,Yes,Very easy,Maybe,5.0,3.0
90,I don't know,No,I don't know,I don't know,I don't know,Somewhat easy,Maybe,6.0,5.0
91,Yes,Yes,No,Yes,I don't know,I don't know,No,7.0,5.0
92,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,Maybe,7.0,7.0
93,Yes,No,Yes,Yes,Yes,Somewhat easy,Yes,7.0,7.0
94,Yes,Yes,No,Yes,I don't know,I don't know,No,10.0,8.0
95,Yes,Yes,Yes,No,I don't know,Somewhat difficult,No,8.0,4.0
96,No,Yes,No,Yes,I don't know,I don't know,No,3.0,3.0
97,Yes,No,I don't know,Yes,I don't know,Very easy,Yes,7.0,8.0
98,Not eligible for coverage / NA,,No,No,I don't know,Somewhat easy,Maybe,8.0,7.0
99,Yes,No,Yes,Yes,I don't know,Difficult,No,4.0,1.0
100,I don't know,No,Yes,I don't know,Yes,Very easy,Yes,10.0,10.0
101,I don't know,No,No,I don't know,Yes,Somewhat easy,Maybe,5.0,5.0
102,I don't know,Yes,No,No,I don't know,Difficult,Maybe,3.0,0.0
103,Yes,No,Yes,Yes,I don't know,Very easy,Yes,7.0,7.0
104,,,,,,,,,
105,Yes,No,No,No,I don't know,Somewhat difficult,No,5.0,5.0
106,,,,,,,,,
107,I don't know,No,No,I don't know,I don't know,I don't know,No,5.0,2.0
108,Yes,Yes,No,No,Yes,Neither easy nor difficult,Maybe,1.0,5.0
109,Yes,Yes,No,Yes,Yes,Very easy,Yes,8.0,8.0
110,I don't know,No,No,No,I don't know,I don't know,Yes,5.0,3.0
111,I don't know,No,I don't know,I don't know,I don't know,Very easy,Yes,6.0,5.0
112,Yes,Yes,No,No,Yes,Very easy,No,5.0,8.0
113,,,,,,,,,
114,I don't know,No,Yes,I don't know,I don't know,Very easy,Yes,6.0,6.0
115,I don't know,No,No,No,I don't know,Very easy,Yes,7.0,7.0
116,I don't know,Yes,No,No,I don't know,Neither easy nor difficult,Maybe,8.0,5.0
117,Yes,Yes,Yes,Yes,Yes,Somewhat difficult,No,3.0,1.0
118,Yes,No,No,No,Yes,Somewhat easy,Yes,5.0,6.0
119,Yes,No,No,No,I don't know,Somewhat easy,Maybe,7.0,7.0
120,Yes,Yes,No,I don't know,I don't know,Very easy,Maybe,0.0,0.0
121,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,Yes,5.0,5.0
122,Not eligible for coverage / NA,No,No,No,I don't know,Somewhat difficult,No,2.0,1.0
123,Yes,No,No,Yes,I don't know,I don't know,No,6.0,3.0
124,Yes,Yes,Yes,Yes,I don't know,Neither easy nor difficult,Yes,7.0,5.0
125,I don't know,No,No,No,I don't know,I don't know,Yes,10.0,3.0
126,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,Yes,5.0,9.0
127,Yes,Yes,No,No,Yes,Somewhat difficult,No,10.0,4.0
128,Yes,Yes,Yes,I don't know,Yes,Neither easy nor difficult,Maybe,5.0,2.0
129,No,,No,No,I don't know,Somewhat easy,Maybe,0.0,0.0
130,I don't know,No,No,I don't know,I don't know,Somewhat easy,Yes,8.0,7.0
131,Yes,No,No,I don't know,I don't know,I don't know,Yes,7.0,5.0
132,Yes,No,No,No,I don't know,Somewhat easy,Yes,5.0,5.0
133,Yes,Yes,No,Yes,I don't know,I don't know,Maybe,8.0,5.0
134,Yes,Yes,No,Yes,Yes,Somewhat easy,Maybe,6.0,6.0
135,Yes,Yes,I don't know,I don't know,Yes,I don't know,Maybe,8.0,5.0
136,No,,No,No,I don't know,Somewhat easy,No,6.0,2.0
137,Not eligible for coverage / NA,Yes,Yes,No,I don't know,Somewhat easy,Yes,7.0,7.0
138,No,No,No,No,No,Somewhat easy,No,1.0,1.0
139,I don't know,,No,No,I don't know,I don't know,Maybe,5.0,5.0
140,Yes,Yes,No,Yes,Yes,Somewhat difficult,No,3.0,1.0
141,Yes,Yes,Yes,No,I don't know,Somewhat difficult,No,7.0,5.0
142,Yes,No,No,No,I don't know,Very easy,Yes,5.0,9.0
143,Yes,Yes,I don't know,Yes,Yes,Somewhat difficult,No,10.0,8.0
144,I don't know,No,No,No,I don't know,I don't know,No,6.0,0.0
145,Yes,Yes,No,No,I don't know,Somewhat easy,No,6.0,0.0
146,I don't know,No,Yes,Yes,Yes,Somewhat easy,Maybe,9.0,8.0
147,Yes,No,Yes,Yes,Yes,Very easy,Yes,8.0,8.0
148,Yes,No,Yes,Yes,Yes,Difficult,No,8.0,4.0
149,,,,,,,,,
150,I don't know,No,Yes,Yes,I don't know,Somewhat difficult,No,6.0,6.0
151,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Yes,8.0,8.0
152,Yes,Yes,Yes,I don't know,I don't know,Somewhat easy,Yes,5.0,5.0
153,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,No,7.0,7.0
154,I don't know,No,Yes,No,Yes,Somewhat difficult,Maybe,8.0,3.0
155,Yes,Yes,No,No,I don't know,Somewhat difficult,Maybe,6.0,4.0
156,I don't know,No,No,No,Yes,Somewhat difficult,No,6.0,5.0
157,Yes,Yes,Yes,I don't know,Yes,I don't know,Maybe,10.0,6.0
158,,,,,,,,,
159,No,,I don't know,No,Yes,Very easy,Yes,10.0,10.0
160,,,,,,,,,
161,,,,,,,,,
162,,,,,,,,,
163,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,Yes,6.0,7.0
164,I don't know,No,No,I don't know,I don't know,Somewhat easy,Maybe,3.0,3.0
165,,,,,,,,,
166,Yes,No,No,No,I don't know,I don't know,No,2.0,2.0
167,Yes,Yes,Yes,I don't know,I don't know,Difficult,Yes,7.0,4.0
168,Yes,Yes,Yes,I don't know,Yes,Very easy,Yes,8.0,8.0
169,I don't know,No,Yes,I don't know,I don't know,I don't know,No,5.0,4.0
170,,,,,,,,,
171,Yes,No,No,I don't know,I don't know,I don't know,Maybe,5.0,5.0
172,I don't know,No,No,I don't know,I don't know,Very easy,No,6.0,5.0
173,Yes,Yes,I don't know,Yes,I don't know,Neither easy nor difficult,No,8.0,5.0
174,Yes,Yes,Yes,Yes,I don't know,Difficult,Maybe,10.0,5.0
175,Yes,Yes,Yes,Yes,I don't know,Difficult,Maybe,8.0,5.0
176,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,10.0,8.0
177,Yes,No,I don't know,I don't know,I don't know,I don't know,Yes,7.0,8.0
178,Yes,Yes,I don't know,Yes,Yes,Very easy,No,7.0,5.0
179,I don't know,No,No,No,No,Somewhat easy,No,5.0,1.0
180,Not eligible for coverage / NA,No,Yes,No,I don't know,I don't know,No,5.0,2.0
181,Yes,No,Yes,Yes,Yes,Very easy,Yes,8.0,8.0
182,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,7.0,8.0
183,Not eligible for coverage / NA,,No,No,I don't know,Very easy,Maybe,4.0,8.0
184,Yes,No,No,Yes,Yes,Neither easy nor difficult,Maybe,8.0,8.0
185,No,No,No,No,I don't know,Difficult,No,7.0,5.0
186,I don't know,No,No,I don't know,I don't know,Very easy,Maybe,10.0,10.0
187,No,,No,No,I don't know,Somewhat easy,Maybe,6.0,3.0
188,No,No,No,Yes,No,Very easy,Yes,5.0,5.0
189,I don't know,No,No,I don't know,I don't know,Very easy,Yes,6.0,4.0
190,Yes,No,No,Yes,I don't know,Somewhat easy,No,6.0,4.0
191,,,,,,,,,
192,I don't know,No,No,I don't know,I don't know,Somewhat difficult,Maybe,6.0,3.0
193,I don't know,No,No,No,I don't know,Very easy,Maybe,7.0,6.0
194,Yes,Yes,I don't know,Yes,Yes,Neither easy nor difficult,Maybe,7.0,6.0
195,I don't know,No,No,I don't know,I don't know,Somewhat difficult,No,8.0,6.0
196,,,,,,,,,
197,Yes,Yes,Yes,Yes,I don't know,Very easy,Yes,8.0,8.0
198,Yes,No,No,No,I don't know,Somewhat difficult,Maybe,5.0,3.0
199,I don't know,No,No,No,I don't know,Somewhat easy,Yes,4.0,0.0
200,Yes,No,No,I don't know,I don't know,Very easy,Yes,3.0,2.0
201,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Yes,7.0,7.0
202,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,Yes,9.0,10.0
203,,,,,,,,,
204,Yes,Yes,No,Yes,I don't know,I don't know,Maybe,6.0,1.0
205,Yes,Yes,No,No,Yes,Neither easy nor difficult,Maybe,5.0,3.0
206,No,No,No,No,I don't know,Neither easy nor difficult,No,8.0,5.0
207,Yes,Yes,Yes,Yes,I don't know,Very easy,Yes,10.0,10.0
208,Yes,Yes,Yes,Yes,I don't know,Neither easy nor difficult,Yes,8.0,10.0
209,Yes,Yes,No,I don't know,Yes,Very easy,Yes,7.0,8.0
210,Yes,Yes,Yes,Yes,Yes,Very easy,Yes,6.0,5.0
211,Not eligible for coverage / NA,Yes,No,No,Yes,Somewhat easy,Maybe,9.0,6.0
212,No,No,No,No,I don't know,Very easy,No,0.0,0.0
213,Yes,No,Yes,Yes,I don't know,Somewhat easy,Yes,5.0,7.0
214,I don't know,,Yes,No,I don't know,Very easy,Maybe,10.0,10.0
215,,,,,,,,,
216,Yes,Yes,Yes,No,Yes,Very easy,Yes,5.0,7.0
217,Not eligible for coverage / NA,,Yes,I don't know,Yes,I don't know,Maybe,5.0,5.0
218,Not eligible for coverage / NA,,No,No,I don't know,Neither easy nor difficult,No,5.0,3.0
219,Yes,Yes,No,No,I don't know,Somewhat difficult,No,0.0,0.0
220,I don't know,Yes,I don't know,Yes,I don't know,Somewhat easy,No,8.0,10.0
221,Yes,Yes,No,Yes,Yes,Difficult,Yes,8.0,1.0
222,,,,,,,,,
223,Yes,Yes,No,Yes,Yes,Neither easy nor difficult,Maybe,6.0,6.0
224,I don't know,No,No,No,Yes,Somewhat easy,Yes,5.0,4.0
225,Yes,No,No,I don't know,I don't know,Very easy,Maybe,6.0,6.0
226,I don't know,Yes,No,No,I don't know,Difficult,No,5.0,0.0
227,Not eligible for coverage / NA,No,No,No,I don't know,Very easy,Yes,8.0,5.0
228,No,No,I don't know,I don't know,I don't know,Very easy,Yes,8.0,6.0
229,I don't know,No,No,No,I don't know,Very easy,Maybe,10.0,6.0
230,I don't know,No,No,No,I don't know,Somewhat easy,Maybe,5.0,5.0
231,,,,,,,,,
232,Yes,Yes,Yes,Yes,Yes,I don't know,Maybe,10.0,8.0
233,Yes,No,Yes,I don't know,I don't know,Very easy,Yes,6.0,7.0
234,Yes,Yes,Yes,Yes,Yes,Very easy,Yes,5.0,10.0
235,Yes,No,No,No,No,Somewhat easy,No,5.0,5.0
236,Yes,Yes,I don't know,I don't know,I don't know,Somewhat easy,Yes,10.0,10.0
237,Yes,Yes,No,No,I don't know,I don't know,Yes,10.0,2.0
238,Not eligible for coverage / NA,,No,No,I don't know,I don't know,Maybe,9.0,2.0
239,,,,,,,,,
240,No,No,No,No,No,Difficult,No,10.0,0.0
241,,,,,,,,,
242,No,No,No,No,I don't know,Somewhat easy,No,1.0,1.0
243,I don't know,No,Yes,Yes,Yes,Somewhat easy,Maybe,10.0,8.0
244,Yes,Yes,Yes,Yes,I don't know,I don't know,Maybe,8.0,8.0
245,I don't know,No,No,No,I don't know,Somewhat difficult,Maybe,7.0,3.0
246,Not eligible for coverage / NA,No,No,No,I don't know,Somewhat easy,Yes,8.0,5.0
247,I don't know,No,Yes,I don't know,I don't know,I don't know,Maybe,2.0,5.0
248,Yes,Yes,Yes,Yes,Yes,I don't know,Maybe,8.0,7.0
249,I don't know,No,No,No,I don't know,Very easy,Maybe,7.0,6.0
250,Yes,Yes,Yes,Yes,I don't know,Very easy,Yes,7.0,7.0
251,I don't know,No,I don't know,I don't know,I don't know,I don't know,Maybe,10.0,2.0
252,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,Maybe,8.0,5.0
253,Not eligible for coverage / NA,,Yes,I don't know,I don't know,I don't know,Yes,1.0,1.0
254,No,No,No,No,I don't know,Difficult,Maybe,8.0,2.0
255,,,,,,,,,
256,Yes,No,Yes,Yes,Yes,Very easy,Yes,9.0,9.0
257,Yes,Yes,Yes,Yes,Yes,I don't know,Yes,6.0,5.0
258,I don't know,No,Yes,I don't know,I don't know,Neither easy nor difficult,Maybe,4.0,4.0
259,Yes,No,No,Yes,Yes,Somewhat difficult,No,9.0,9.0
260,,,,,,,,,
261,Not eligible for coverage / NA,,No,I don't know,I don't know,I don't know,Maybe,6.0,6.0
262,I don't know,No,Yes,No,I don't know,Somewhat easy,No,8.0,6.0
263,Yes,Yes,No,No,Yes,Very easy,Yes,8.0,8.0
264,Yes,No,No,No,I don't know,Neither easy nor difficult,No,6.0,5.0
265,,,,,,,,,
266,Yes,No,Yes,No,No,Difficult,No,9.0,2.0
267,Yes,Yes,Yes,Yes,I don't know,Somewhat difficult,No,6.0,6.0
268,I don't know,No,No,No,I don't know,Somewhat easy,Yes,5.0,4.0
269,Not eligible for coverage / NA,,Yes,No,I don't know,Very easy,Yes,3.0,3.0
270,Yes,Yes,No,I don't know,Yes,Difficult,No,8.0,4.0
271,,,,,,,,,
272,Yes,Yes,No,No,Yes,Somewhat difficult,No,9.0,3.0
273,No,No,No,No,I don't know,I don't know,Maybe,6.0,6.0
274,I don't know,No,I don't know,I don't know,I don't know,Neither easy nor difficult,Maybe,6.0,6.0
275,,,,,,,,,
276,Yes,Yes,No,I don't know,Yes,Somewhat easy,Yes,7.0,3.0
277,,,,,,,,,
278,,,,,,,,,
279,No,No,No,Yes,Yes,Somewhat difficult,No,6.0,1.0
280,No,No,Yes,No,I don't know,Neither easy nor difficult,No,3.0,2.0
281,Yes,Yes,No,No,I don't know,Neither easy nor difficult,No,5.0,2.0
282,Yes,Yes,No,No,Yes,Very easy,Yes,7.0,5.0
283,I don't know,No,No,No,I don't know,I don't know,Maybe,5.0,3.0
284,I don't know,No,No,No,I don't know,Somewhat easy,Yes,2.0,3.0
285,Not eligible for coverage / NA,No,I don't know,I don't know,I don't know,I don't know,No,5.0,5.0
286,,,,,,,,,
287,No,,No,No,No,Neither easy nor difficult,No,3.0,2.0
288,I don't know,No,No,No,Yes,Somewhat easy,No,10.0,2.0
289,Yes,Yes,No,No,I don't know,Neither easy nor difficult,No,6.0,3.0
290,Yes,Yes,Yes,Yes,I don't know,Difficult,Maybe,5.0,5.0
291,,,,,,,,,
292,I don't know,No,I don't know,I don't know,I don't know,Somewhat easy,Yes,5.0,5.0
293,,,,,,,,,
294,Yes,Yes,Yes,Yes,I don't know,Neither easy nor difficult,Yes,7.0,7.0
295,I don't know,No,No,No,I don't know,Somewhat easy,No,7.0,2.0
296,Yes,Yes,No,No,I don't know,Somewhat difficult,No,7.0,5.0
297,No,No,No,No,I don't know,Somewhat easy,Maybe,5.0,2.0
298,No,,No,No,No,Somewhat difficult,Yes,5.0,2.0
299,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,8.0,8.0
300,Yes,No,Yes,Yes,Yes,Very easy,Yes,7.0,7.0
301,I don't know,No,No,No,I don't know,Somewhat easy,No,5.0,5.0
302,I don't know,No,Yes,Yes,I don't know,Difficult,No,7.0,5.0
303,Yes,No,No,No,I don't know,I don't know,No,10.0,0.0
304,I don't know,No,No,No,I don't know,Somewhat easy,Yes,8.0,5.0
305,I don't know,No,No,No,No,Somewhat easy,No,3.0,0.0
306,I don't know,No,No,No,I don't know,Somewhat difficult,No,9.0,1.0
307,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,Yes,7.0,7.0
308,,,,,,,,,
309,,,,,,,,,
310,I don't know,No,No,No,I don't know,Difficult,Maybe,3.0,0.0
311,Yes,No,I don't know,I don't know,Yes,Somewhat easy,Yes,7.0,5.0
312,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,No,8.0,8.0
313,I don't know,,No,I don't know,Yes,Very easy,Yes,6.0,8.0
314,Yes,Yes,Yes,No,Yes,Somewhat difficult,Yes,9.0,3.0
315,Yes,Yes,Yes,Yes,Yes,I don't know,Yes,8.0,8.0
316,,,,,,,,,
317,I don't know,Yes,No,No,Yes,Somewhat difficult,Maybe,6.0,4.0
318,,,,,,,,,
319,Yes,No,No,Yes,I don't know,Somewhat difficult,Yes,6.0,3.0
320,Yes,Yes,No,Yes,I don't know,Somewhat easy,No,10.0,5.0
321,No,No,Yes,No,No,Somewhat difficult,No,4.0,3.0
322,I don't know,No,Yes,Yes,I don't know,I don't know,No,8.0,6.0
323,Yes,Yes,No,I don't know,Yes,Somewhat easy,Yes,8.0,5.0
324,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,7.0,7.0
325,Yes,Yes,No,No,I don't know,Neither easy nor difficult,No,5.0,5.0
326,I don't know,No,No,Yes,I don't know,Somewhat easy,Yes,5.0,3.0
327,I don't know,No,I don't know,Yes,I don't know,Somewhat difficult,Yes,2.0,0.0
328,Yes,Yes,Yes,Yes,Yes,Neither easy nor difficult,Yes,5.0,5.0
329,Not eligible for coverage / NA,,No,No,I don't know,Somewhat difficult,No,0.0,0.0
330,Yes,Yes,No,Yes,Yes,Somewhat difficult,Maybe,5.0,3.0
331,Yes,Yes,Yes,Yes,I don't know,Very easy,Yes,9.0,9.0
332,No,No,No,No,I don't know,Very easy,No,6.0,0.0
333,I don't know,No,No,I don't know,Yes,I don't know,Maybe,7.0,0.0
334,Yes,Yes,No,I don't know,Yes,Very easy,Yes,10.0,8.0
335,Yes,Yes,No,No,Yes,I don't know,Yes,7.0,1.0
336,Yes,Yes,Yes,I don't know,I don't know,Somewhat easy,No,7.0,2.0
337,I don't know,No,I don't know,I don't know,I don't know,Very easy,Maybe,5.0,5.0
338,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Yes,8.0,9.0
339,I don't know,,Yes,Yes,Yes,Neither easy nor difficult,Maybe,5.0,5.0
340,Yes,No,No,Yes,I don't know,Somewhat difficult,No,7.0,1.0
341,No,No,No,No,No,Somewhat difficult,No,5.0,6.0
342,No,,No,No,I don't know,Neither easy nor difficult,Maybe,7.0,4.0
343,,,,,,,,,
344,Yes,No,No,I don't know,I don't know,Somewhat difficult,No,4.0,2.0
345,Yes,No,No,No,Yes,Very easy,Yes,8.0,7.0
346,No,No,No,No,I don't know,Very easy,Maybe,8.0,5.0
347,I don't know,No,No,I don't know,I don't know,Somewhat difficult,No,5.0,5.0
348,,,,,,,,,
349,,,,,,,,,
350,No,No,No,No,Yes,Difficult,No,9.0,3.0
351,Yes,Yes,No,Yes,Yes,Somewhat difficult,Maybe,5.0,3.0
