,self_employed,no_employees,tech_company,IT_role,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,phys_health_interview,obs_consequence
78,0,26-100,1.0,,I don't know,I am not sure,No,I don't know,I don't know,Somewhat difficult,Maybe,No,No,No,No,No
79,0,26-100,1.0,,Yes,Yes,No,Yes,Yes,Very easy,No,No,Maybe,Yes,Yes,No
80,0,1-5,1.0,,Yes,Yes,No,I don't know,Yes,I don't know,No,No,Maybe,Yes,I don't know,No
81,0,1-5,1.0,,No,No,No,No,I don't know,Very difficult,Maybe,Maybe,No,No,I don't know,Yes
82,1,,,,,,,,,,,,,,,
83,0,26-100,1.0,,I don't know,I am not sure,No,I don't know,Yes,Somewhat easy,No,No,Maybe,Yes,Yes,No
84,1,,,,,,,,,,,,,,,
85,0,6-25,1.0,,Yes,No,No,I don't know,I don't know,Neither easy nor difficult,Maybe,No,No,Maybe,No,No
86,0,26-100,1.0,,I don't know,No,No,No,I don't know,Somewhat difficult,Maybe,No,Maybe,Maybe,No,No
87,0,26-100,1.0,,I don't know,I am not sure,No,I don't know,I don't know,Somewhat difficult,Maybe,No,No,No,No,No
88,1,,,,,,,,,,,,,,,
89,0,26-100,1.0,,I don't know,I am not sure,Yes,Yes,Yes,Very easy,No,No,Maybe,Maybe,Yes,No
90,0,100-500,0.0,1.0,No,,No,No,I don't know,I don't know,Maybe,No,No,No,I don't know,No
91,0,More than 1000,1.0,,Yes,Yes,I don't know,Yes,I don't know,Neither easy nor difficult,Maybe,Maybe,Maybe,Maybe,I don't know,No
92,0,6-25,1.0,,No,,Yes,I don't know,I don't know,Neither easy nor difficult,No,No,Maybe,Yes,Yes,No
93,0,6-25,1.0,,No,,No,No,I don't know,Somewhat difficult,Yes,No,No,Yes,No,Yes
94,0,6-25,0.0,1.0,I don't know,I am not sure,No,No,I don't know,Neither easy nor difficult,No,No,Maybe,Yes,I don't know,No
95,0,100-500,1.0,,Yes,I am not sure,No,I don't know,I don't know,Neither easy nor difficult,No,No,Maybe,Maybe,I don't know,No
96,0,26-100,1.0,,I don't know,I am not sure,No,I don't know,I don't know,Very easy,No,No,Maybe,Maybe,I don't know,No
97,0,26-100,1.0,,I don't know,I am not sure,Yes,I don't know,Yes,I don't know,No,No,No,No,Yes,No
98,1,,,,,,,,,,,,,,,
99,0,100-500,1.0,,Yes,Yes,No,No,I don't know,Somewhat difficult,Maybe,No,Maybe,Yes,No,No
100,0,500-1000,1.0,,Yes,No,I don't know,I don't know,I don't know,Neither easy nor difficult,Maybe,No,No,No,I don't know,No
101,0,100-500,1.0,,I don't know,No,No,No,I don't know,I don't know,Yes,No,Maybe,Yes,No,No
102,0,6-25,1.0,,I don't know,I am not sure,No,No,I don't know,Neither easy nor difficult,No,No,Yes,Yes,I don't know,No
103,0,26-100,1.0,,I don't know,I am not sure,I don't know,I don't know,I don't know,Very easy,Maybe,Maybe,No,No,I don't know,No
104,0,26-100,1.0,,No,I am not sure,No,No,I don't know,Somewhat difficult,Yes,No,Maybe,Maybe,No,Yes
105,1,,,,,,,,,,,,,,,
106,0,26-100,1.0,,Yes,Yes,No,No,I don't know,Somewhat difficult,Maybe,No,Maybe,No,No,No
107,0,More than 1000,1.0,,Yes,Yes,No,Yes,Yes,I don't know,Maybe,Maybe,Maybe,Maybe,No,No
108,0,6-25,1.0,,Yes,Yes,No,No,Yes,Very easy,No,No,No,Yes,Yes,No
109,1,,,,,,,,,,,,,,,
110,0,100-500,0.0,0.0,I don't know,No,No,I don't know,I don't know,Somewhat easy,No,No,Yes,Yes,I don't know,No
111,0,26-100,1.0,,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,No
112,0,More than 1000,1.0,,Yes,I am not sure,No,I don't know,I don't know,Somewhat difficult,Yes,No,No,No,I don't know,No
113,1,,,,,,,,,,,,,,,
114,1,,,,,,,,,,,,,,,
115,0,26-100,0.0,1.0,Yes,Yes,No,Yes,Yes,I don't know,Maybe,Maybe,Maybe,Maybe,I don't know,No
116,0,26-100,0.0,1.0,I don't know,No,No,No,I don't know,I don't know,No,No,Maybe,Yes,I don't know,No
117,0,26-100,1.0,,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Yes,Yes,Yes,No
118,0,100-500,1.0,,I don't know,I am not sure,No,I don't know,I don't know,Neither easy nor difficult,No,No,Maybe,Maybe,I don't know,No
119,0,6-25,1.0,,Yes,No,No,No,No,Neither easy nor difficult,Maybe,No,No,No,I don't know,No
120,0,500-1000,1.0,,I don't know,I am not sure,No,No,I don't know,Neither easy nor difficult,No,No,Yes,Yes,I don't know,No
121,0,26-100,1.0,,Yes,Yes,Yes,I don't know,I don't know,Very easy,No,No,Maybe,Yes,Yes,No
122,1,,,,,,,,,,,,,,,
123,0,26-100,0.0,1.0,No,Yes,No,No,I don't know,Somewhat difficult,Yes,Maybe,No,Maybe,I don't know,No
124,1,,,,,,,,,,,,,,,
125,1,,,,,,,,,,,,,,,
126,0,1-5,0.0,1.0,I don't know,No,Yes,No,I don't know,Very difficult,Yes,Maybe,Yes,No,I don't know,No
127,1,,,,,,,,,,,,,,,
128,0,100-500,1.0,,I don't know,No,I don't know,I don't know,I don't know,Very easy,Maybe,Maybe,Yes,Yes,I don't know,No
129,0,26-100,1.0,,Yes,No,No,No,No,Somewhat easy,Maybe,No,No,Maybe,Yes,No
130,0,More than 1000,0.0,1.0,I don't know,I am not sure,No,I don't know,I don't know,Very difficult,Maybe,Maybe,No,Maybe,I don't know,No
131,0,6-25,1.0,,Yes,No,No,I don't know,I don't know,Somewhat difficult,Yes,Maybe,Maybe,No,No,No
132,0,500-1000,1.0,,No,I am not sure,No,No,I don't know,Somewhat difficult,Yes,No,Maybe,Yes,No,No
133,0,More than 1000,0.0,1.0,Yes,No,No,Yes,Yes,I don't know,Maybe,No,Maybe,Yes,I don't know,No
134,0,More than 1000,1.0,,I don't know,No,Yes,I don't know,I don't know,Neither easy nor difficult,No,No,Maybe,Yes,Yes,No
135,0,More than 1000,0.0,1.0,Yes,I am not sure,No,I don't know,Yes,I don't know,Maybe,No,No,Maybe,I don't know,No
136,0,26-100,1.0,,Yes,No,No,I don't know,I don't know,I don't know,No,No,No,Maybe,Yes,No
137,0,26-100,1.0,,I don't know,I am not sure,No,I don't know,I don't know,Somewhat easy,No,No,Yes,Yes,I don't know,No
138,0,100-500,1.0,,Yes,Yes,No,I don't know,I don't know,Somewhat difficult,Yes,No,No,No,No,No
139,0,100-500,1.0,,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Yes,Yes,I don't know,No
140,0,1-5,1.0,,No,Yes,No,No,No,Very difficult,Maybe,Maybe,No,No,I don't know,No
141,0,26-100,1.0,,I don't know,No,No,I don't know,I don't know,I don't know,Yes,Maybe,No,Maybe,I don't know,No
142,0,500-1000,1.0,,Yes,No,No,I don't know,I don't know,I don't know,Maybe,No,Maybe,Yes,Yes,No
143,0,26-100,1.0,,I don't know,I am not sure,I don't know,No,I don't know,I don't know,Maybe,Maybe,Maybe,Maybe,I don't know,No
144,0,26-100,1.0,,Yes,I am not sure,No,No,No,Somewhat easy,Maybe,No,No,Yes,Yes,No
145,1,,,,,,,,,,,,,,,
146,0,26-100,1.0,,Yes,No,No,No,I don't know,Very difficult,Yes,Maybe,Maybe,Maybe,No,Yes
147,0,6-25,1.0,,Yes,Yes,No,I don't know,No,Somewhat easy,No,No,Yes,Yes,Yes,No
148,0,6-25,1.0,,I don't know,No,No,I don't know,I don't know,Somewhat difficult,No,No,Yes,Yes,Yes,No
149,0,More than 1000,1.0,,No,,No,No,I don't know,Very difficult,Yes,Maybe,No,No,No,Yes
150,0,More than 1000,0.0,1.0,Yes,Yes,I don't know,Yes,Yes,Very easy,No,No,Maybe,Yes,Yes,No
151,1,,,,,,,,,,,,,,,
152,1,,,,,,,,,,,,,,,
153,0,100-500,1.0,,Yes,No,I don't know,I don't know,I don't know,I don't know,Maybe,No,Maybe,Maybe,I don't know,No
154,1,,,,,,,,,,,,,,,
155,0,26-100,1.0,,I don't know,No,Yes,No,I don't know,Very easy,No,No,Yes,Yes,I don't know,No
156,0,100-500,1.0,,Yes,No,No,I don't know,I don't know,Somewhat easy,Maybe,Maybe,Yes,Yes,I don't know,No
157,0,26-100,1.0,,No,I am not sure,No,I don't know,Yes,Very difficult,Yes,Maybe,Maybe,Maybe,I don't know,No
158,0,More than 1000,0.0,1.0,I don't know,No,No,No,I don't know,Somewhat difficult,Yes,Maybe,No,No,No,No
159,0,500-1000,1.0,,Yes,Yes,No,I don't know,Yes,Somewhat easy,Maybe,Maybe,No,No,No,No
160,0,6-25,1.0,,Yes,Yes,No,Yes,Yes,Very easy,No,No,Maybe,Yes,Yes,No
161,0,More than 1000,0.0,1.0,Yes,Yes,No,I don't know,I don't know,Somewhat difficult,Maybe,Maybe,Maybe,Maybe,Yes,No
162,0,100-500,1.0,,Yes,Yes,No,Yes,I don't know,Somewhat easy,Maybe,No,Maybe,No,I don't know,No
163,0,More than 1000,0.0,0.0,Yes,Yes,Yes,Yes,Yes,Very easy,Yes,Maybe,No,No,Yes,No
164,0,More than 1000,1.0,,Yes,Yes,Yes,Yes,Yes,Neither easy nor difficult,Maybe,No,Maybe,Maybe,No,No
165,0,More than 1000,0.0,1.0,I don't know,I am not sure,Yes,No,I don't know,Very easy,Maybe,Maybe,No,Maybe,Yes,No
166,0,More than 1000,0.0,1.0,I don't know,No,No,I don't know,Yes,Very easy,Maybe,Maybe,Maybe,Yes,I don't know,No
167,0,More than 1000,0.0,1.0,Yes,Yes,No,Yes,I don't know,I don't know,Maybe,No,No,No,I don't know,No
168,1,,,,,,,,,,,,,,,
169,0,More than 1000,0.0,1.0,Yes,I am not sure,Yes,I don't know,I don't know,Somewhat easy,Maybe,No,No,Maybe,I don't know,No
170,0,26-100,1.0,,No,I am not sure,No,No,No,Somewhat easy,Maybe,Maybe,Yes,Maybe,No,No
171,0,100-500,1.0,,I don't know,I am not sure,No,I don't know,I don't know,Neither easy nor difficult,Maybe,No,Maybe,Yes,I don't know,No
172,0,6-25,1.0,,No,I am not sure,No,No,I don't know,Neither easy nor difficult,Maybe,Maybe,Maybe,Maybe,I don't know,No
173,0,More than 1000,0.0,1.0,Yes,No,No,Yes,I don't know,Neither easy nor difficult,Maybe,Maybe,No,Maybe,No,No
174,0,6-25,1.0,,No,,No,No,No,Neither easy nor difficult,Maybe,Maybe,Yes,Yes,No,No
175,0,26-100,1.0,,Yes,I am not sure,No,I don't know,Yes,Somewhat easy,Maybe,Maybe,Maybe,No,I don't know,No
176,0,26-100,1.0,,Yes,Yes,No,No,Yes,Somewhat difficult,Maybe,No,No,No,No,No
177,0,26-100,1.0,,I don't know,I am not sure,No,No,I don't know,Somewhat easy,No,No,Maybe,Maybe,I don't know,No
178,0,6-25,1.0,,No,,Yes,No,Yes,Somewhat easy,No,No,Yes,Yes,Yes,No
179,0,100-500,1.0,,Yes,I am not sure,I don't know,I don't know,I don't know,Very easy,No,No,Yes,Yes,Yes,No
180,0,6-25,1.0,,No,,No,Yes,I don't know,Very easy,No,No,Yes,Yes,Yes,No
181,0,100-500,1.0,,I don't know,I am not sure,No,No,I don't know,Neither easy nor difficult,Maybe,Maybe,No,No,Yes,No
182,0,1-5,1.0,,Not eligible for coverage / N/A,,Yes,I don't know,I don't know,Very easy,No,No,Yes,Yes,Yes,No
183,0,500-1000,1.0,,No,No,No,No,Yes,Very easy,No,No,Maybe,Yes,I don't know,No
184,0,26-100,1.0,,Yes,Yes,No,No,Yes,Somewhat difficult,Maybe,No,Maybe,Maybe,Yes,No
185,0,1-5,1.0,,No,No,No,No,No,Somewhat easy,No,No,Maybe,Yes,No,No
186,0,100-500,1.0,,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Yes,Yes,Yes,No
187,0,100-500,1.0,,Yes,Yes,I don't know,Yes,Yes,Somewhat difficult,No,No,Yes,Yes,Yes,No
188,0,More than 1000,1.0,,Yes,No,No,I don't know,I don't know,Very easy,No,No,Yes,Yes,Yes,No
189,0,500-1000,1.0,,Yes,No,No,I don't know,I don't know,Very easy,Maybe,No,Maybe,Maybe,I don't know,No
190,0,500-1000,1.0,,Yes,I am not sure,I don't know,Yes,I don't know,Somewhat easy,Maybe,No,Maybe,Maybe,Yes,No
191,1,,,,,,,,,,,,,,,
192,0,26-100,1.0,,No,No,No,No,I don't know,Neither easy nor difficult,No,No,No,No,I don't know,No
193,1,,,,,,,,,,,,,,,
194,0,More than 1000,1.0,,Yes,Yes,No,No,I don't know,Somewhat difficult,Maybe,Maybe,Yes,Yes,I don't know,No
195,0,26-100,1.0,,No,I am not sure,No,No,I don't know,Somewhat easy,Maybe,No,Yes,Yes,No,No
196,0,100-500,1.0,,I don't know,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Maybe,I don't know,No
197,1,,,,,,,,,,,,,,,
198,0,500-1000,1.0,,Yes,Yes,Yes,Yes,Yes,Neither easy nor difficult,Maybe,No,Yes,Maybe,Yes,No
199,0,More than 1000,1.0,,Yes,Yes,No,Yes,I don't know,Somewhat difficult,Yes,Maybe,No,No,No,No
200,0,100-500,1.0,,Yes,Yes,No,Yes,Yes,Somewhat difficult,Maybe,No,Maybe,Yes,Yes,No
201,0,26-100,1.0,,I don't know,,No,I don't know,Yes,Very easy,No,No,Yes,Yes,I don't know,No
202,0,500-1000,1.0,,I don't know,No,No,I don't know,Yes,Somewhat easy,No,No,Yes,Yes,Yes,No
203,0,500-1000,1.0,,Yes,Yes,No,Yes,I don't know,Somewhat easy,No,No,Yes,Yes,No,Yes
204,0,100-500,1.0,,I don't know,I am not sure,No,No,I don't know,Somewhat difficult,Maybe,No,Maybe,Yes,Yes,No
205,0,6-25,1.0,,Not eligible for coverage / N/A,,No,No,No,Somewhat easy,No,No,Maybe,Maybe,Yes,No
206,0,500-1000,1.0,,I don't know,No,Yes,I don't know,I don't know,Somewhat easy,Maybe,No,Yes,Maybe,I don't know,No
207,0,26-100,1.0,,I don't know,No,No,No,I don't know,Somewhat difficult,Maybe,No,No,No,I don't know,No
208,0,6-25,1.0,,No,No,No,No,I don't know,Somewhat difficult,Yes,No,No,No,I don't know,No
209,0,100-500,1.0,,Yes,I am not sure,No,Yes,I don't know,Somewhat easy,No,No,Maybe,Maybe,No,No
210,0,500-1000,1.0,,No,No,No,No,I don't know,Neither easy nor difficult,No,No,Maybe,Maybe,Yes,No
211,0,100-500,1.0,,Yes,Yes,I don't know,I don't know,Yes,Somewhat easy,No,No,Maybe,Yes,Yes,No
212,0,1-5,1.0,,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Yes,Yes,I don't know,No
213,0,100-500,1.0,,I don't know,I am not sure,No,I don't know,I don't know,I don't know,Maybe,Maybe,No,Maybe,No,No
214,0,500-1000,1.0,,I don't know,No,No,No,I don't know,Neither easy nor difficult,Maybe,Maybe,No,Maybe,Yes,No
215,0,6-25,1.0,,I don't know,No,No,No,I don't know,Neither easy nor difficult,Maybe,Maybe,No,No,Yes,No
216,0,500-1000,1.0,,I don't know,No,I don't know,I don't know,I don't know,I don't know,Maybe,Maybe,Maybe,Maybe,No,No
217,0,26-100,1.0,,No,,No,No,I don't know,Somewhat easy,No,No,Maybe,Maybe,Yes,No
218,0,500-1000,1.0,,I don't know,I am not sure,No,I don't know,I don't know,Somewhat easy,No,No,Maybe,Maybe,I don't know,No
219,0,More than 1000,1.0,,No,No,No,No,No,Somewhat easy,Yes,No,No,No,No,No
220,0,26-100,1.0,,Yes,Yes,No,No,Yes,Very easy,No,No,Yes,Yes,Yes,No
221,0,26-100,1.0,,Yes,No,No,No,I don't know,I don't know,Maybe,No,Maybe,No,Yes,No
222,0,100-500,1.0,,I don't know,No,No,I don't know,I don't know,Somewhat easy,No,No,Maybe,Yes,No,No
223,0,6-25,1.0,,Not eligible for coverage / N/A,,Yes,No,Yes,Somewhat easy,Maybe,Maybe,Yes,Yes,I don't know,No
224,0,100-500,1.0,,Yes,Yes,No,No,Yes,Somewhat easy,No,No,Yes,Yes,Yes,No
225,0,500-1000,1.0,,Yes,I am not sure,No,I don't know,I don't know,Somewhat easy,Maybe,No,Maybe,Maybe,Yes,No
226,0,26-100,1.0,,I don't know,No,No,No,I don't know,Somewhat easy,Maybe,Maybe,No,No,I don't know,Yes
227,0,26-100,1.0,,No,I am not sure,No,No,No,Somewhat easy,Maybe,No,Maybe,No,Yes,No
228,0,26-100,1.0,,Yes,Yes,No,No,I don't know,Neither easy nor difficult,Maybe,No,Yes,Yes,No,No
229,0,100-500,1.0,,Yes,Yes,No,Yes,I don't know,Somewhat difficult,Maybe,Maybe,No,No,I don't know,Yes
230,0,26-100,1.0,,I don't know,No,No,Yes,No,Somewhat difficult,Maybe,Maybe,No,No,No,No
231,0,More than 1000,0.0,1.0,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Maybe,Yes,Yes,No
232,0,500-1000,1.0,,Yes,I am not sure,No,No,Yes,Very easy,No,No,No,No,Yes,No
233,0,500-1000,1.0,,Yes,Yes,I don't know,I don't know,Yes,Very easy,No,No,Yes,Yes,Yes,No
234,0,More than 1000,1.0,,Yes,Yes,Yes,Yes,No,Very difficult,Yes,No,Maybe,No,No,No
235,0,26-100,1.0,,Yes,Yes,No,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,No
236,1,,,,,,,,,,,,,,,
237,0,100-500,1.0,,No,No,No,I don't know,I don't know,Very easy,Maybe,No,No,No,I don't know,No
238,1,,,,,,,,,,,,,,,
239,0,100-500,1.0,,No,No,No,No,I don't know,Very easy,Maybe,No,Maybe,Maybe,I don't know,No
240,0,100-500,1.0,,Not eligible for coverage / N/A,I am not sure,Yes,No,I don't know,Neither easy nor difficult,Yes,Maybe,No,No,Yes,No
241,0,6-25,1.0,,I don't know,No,No,I don't know,I don't know,Somewhat easy,Maybe,No,Yes,Maybe,No,No
242,1,,,,,,,,,,,,,,,
243,0,500-1000,1.0,,I don't know,I am not sure,No,I don't know,I don't know,Very easy,No,No,No,Maybe,I don't know,No
244,1,,,,,,,,,,,,,,,
245,0,6-25,1.0,,I don't know,I am not sure,No,I don't know,I don't know,Neither easy nor difficult,Maybe,Maybe,Maybe,Maybe,I don't know,No
246,0,More than 1000,1.0,,Not eligible for coverage / N/A,,Yes,Yes,Yes,Very easy,Yes,No,Maybe,Maybe,Yes,No
247,0,6-25,1.0,,No,,No,No,I don't know,Somewhat easy,No,No,Maybe,Yes,Yes,No
248,0,More than 1000,0.0,1.0,No,I am not sure,No,I don't know,I don't know,Somewhat difficult,Maybe,Maybe,No,No,No,No
249,0,500-1000,1.0,,Yes,Yes,No,Yes,I don't know,I don't know,Maybe,No,Maybe,Maybe,I don't know,No
250,0,More than 1000,1.0,,Yes,Yes,Yes,Yes,Yes,Very difficult,Maybe,Maybe,No,Maybe,No,No
251,0,500-1000,1.0,,Yes,I am not sure,No,Yes,I don't know,I don't know,Maybe,No,No,No,I don't know,Yes
252,0,26-100,1.0,,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,No,No,Maybe,Yes,Yes,No
253,0,26-100,1.0,,Yes,Yes,Yes,No,Yes,Neither easy nor difficult,Maybe,Maybe,Maybe,Maybe,No,Yes
254,1,,,,,,,,,,,,,,,
255,0,1-5,0.0,1.0,No,Yes,Yes,No,No,Somewhat easy,No,No,Yes,Yes,No,No
256,0,26-100,1.0,,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Maybe,Maybe,Yes,Yes
